query,rank,precision,recall
Brexit negotiations and the UK leaving the EU,6,1.0,0.136364
Brexit negotiations and the UK leaving the EU,7,1.0,0.159091
Brexit negotiations and the UK leaving the EU,8,1.0,0.181818
Brexit negotiations and the UK leaving the EU,9,1.0,0.204545
Brexit negotiations and the UK leaving the EU,10,0.9,0.204545
Brexit negotiations and the UK leaving the EU,11,0.909091,0.227273
Brexit negotiations and the UK leaving the EU,12,0.916667,0.25
Brexit negotiations and the UK leaving the EU,13,0.846154,0.25
Brexit negotiations and the UK leaving the EU,14,0.857143,0.272727
Brexit negotiations and the UK leaving the EU,15,0.866667,0.295455
Brexit negotiations and the UK leaving the EU,16,0.875,0.318182
Brexit negotiations and the UK leaving the EU,17,0.882353,0.340909
Brexit negotiations and the UK leaving the EU,18,0.888889,0.363636
Brexit negotiations and the UK leaving the EU,19,0.894737,0.386364
Brexit negotiations and the UK leaving the EU,20,0.9,0.409091
Brexit negotiations and the UK leaving the EU,21,0.904762,0.431818
Brexit negotiations and the UK leaving the EU,22,0.909091,0.454545
Brexit negotiations and the UK leaving the EU,23,0.913043,0.477273
Brexit negotiations and the UK leaving the EU,24,0.916667,0.5
Brexit negotiations and the UK leaving the EU,25,0.92,0.522727
Brexit negotiations and the UK leaving the EU,26,0.923077,0.545455
Brexit negotiations and the UK leaving the EU,27,0.888889,0.545455
Brexit negotiations and the UK leaving the EU,28,0.892857,0.568182
Brexit negotiations and the UK leaving the EU,29,0.896552,0.590909
Brexit negotiations and the UK leaving the EU,30,0.866667,0.590909
Brexit negotiations and the UK leaving the EU,31,0.870968,0.613636
Brexit negotiations and the UK leaving the EU,32,0.875,0.636364
Brexit negotiations and the UK leaving the EU,33,0.878788,0.659091
Brexit negotiations and the UK leaving the EU,34,0.882353,0.681818
Brexit negotiations and the UK leaving the EU,35,0.885714,0.704545
Brexit negotiations and the UK leaving the EU,36,0.888889,0.727273
Brexit negotiations and the UK leaving the EU,37,0.891892,0.75
Brexit negotiations and the UK leaving the EU,38,0.894737,0.772727
Brexit negotiations and the UK leaving the EU,39,0.897436,0.795455
Brexit negotiations and the UK leaving the EU,40,0.9,0.818182
Brexit negotiations and the UK leaving the EU,41,0.902439,0.840909
Brexit negotiations and the UK leaving the EU,42,0.904762,0.863636
Brexit negotiations and the UK leaving the EU,43,0.906977,0.886364
Brexit negotiations and the UK leaving the EU,44,0.909091,0.909091
Brexit negotiations and the UK leaving the EU,45,0.888889,0.909091
Brexit negotiations and the UK leaving the EU,46,0.891304,0.931818
Brexit negotiations and the UK leaving the EU,47,0.893617,0.954545
Brexit negotiations and the UK leaving the EU,48,0.895833,0.977273
Brexit negotiations and the UK leaving the EU,49,0.877551,0.977273
Brexit negotiations and the UK leaving the EU,50,0.88,1.0
Trump impeachment trial and Senate acquittal,1,1.0,0.020408
Trump impeachment trial and Senate acquittal,2,1.0,0.040816
Trump impeachment trial and Senate acquittal,3,1.0,0.061224
Trump impeachment trial and Senate acquittal,4,1.0,0.081633
Trump impeachment trial and Senate acquittal,5,1.0,0.102041
Trump impeachment trial and Senate acquittal,6,1.0,0.122449
Trump impeachment trial and Senate acquittal,7,1.0,0.142857
Trump impeachment trial and Senate acquittal,8,1.0,0.163265
Trump impeachment trial and Senate acquittal,9,1.0,0.183673
Trump impeachment trial and Senate acquittal,10,1.0,0.204082
Trump impeachment trial and Senate acquittal,11,1.0,0.22449
Trump impeachment trial and Senate acquittal,12,1.0,0.244898
Trump impeachment trial and Senate acquittal,13,1.0,0.265306
Trump impeachment trial and Senate acquittal,14,1.0,0.285714
Trump impeachment trial and Senate acquittal,15,1.0,0.306122
Trump impeachment trial and Senate acquittal,16,1.0,0.326531
Trump impeachment trial and Senate acquittal,17,1.0,0.346939
Trump impeachment trial and Senate acquittal,18,1.0,0.367347
Trump impeachment trial and Senate acquittal,19,1.0,0.387755
Trump impeachment trial and Senate acquittal,20,1.0,0.408163
Trump impeachment trial and Senate acquittal,21,1.0,0.428571
Trump impeachment trial and Senate acquittal,22,1.0,0.44898
Trump impeachment trial and Senate acquittal,23,1.0,0.469388
Trump impeachment trial and Senate acquittal,24,1.0,0.489796
Trump impeachment trial and Senate acquittal,25,1.0,0.510204
Trump impeachment trial and Senate acquittal,26,1.0,0.530612
Trump impeachment trial and Senate acquittal,27,1.0,0.55102
Trump impeachment trial and Senate acquittal,28,1.0,0.571429
Trump impeachment trial and Senate acquittal,29,1.0,0.591837
Trump impeachment trial and Senate acquittal,30,1.0,0.612245
Trump impeachment trial and Senate acquittal,31,1.0,0.632653
Trump impeachment trial and Senate acquittal,32,1.0,0.653061
Trump impeachment trial and Senate acquittal,33,1.0,0.673469
Trump impeachment trial and Senate acquittal,34,1.0,0.693878
Trump impeachment trial and Senate acquittal,35,1.0,0.714286
Trump impeachment trial and Senate acquittal,36,1.0,0.734694
Trump impeachment trial and Senate acquittal,37,1.0,0.755102
Trump impeachment trial and Senate acquittal,38,1.0,0.77551
Trump impeachment trial and Senate acquittal,39,0.974359,0.77551
Trump impeachment trial and Senate acquittal,40,0.975,0.795918
Trump impeachment trial and Senate acquittal,41,0.97561,0.816327
Trump impeachment trial and Senate acquittal,42,0.97619,0.836735
Trump impeachment trial and Senate acquittal,43,0.976744,0.857143
Trump impeachment trial and Senate acquittal,44,0.977273,0.877551
Trump impeachment trial and Senate acquittal,45,0.977778,0.897959
Trump impeachment trial and Senate acquittal,46,0.978261,0.918367
Trump impeachment trial and Senate acquittal,47,0.978723,0.938776
Trump impeachment trial and Senate acquittal,48,0.979167,0.959184
Trump impeachment trial and Senate acquittal,49,0.979592,0.979592
Trump impeachment trial and Senate acquittal,50,0.98,1.0
wildfires in Australia and California 2020,1,1.0,0.033333
wildfires in Australia and California 2020,2,0.5,0.033333
wildfires in Australia and California 2020,3,0.333333,0.033333
wildfires in Australia and California 2020,4,0.5,0.066667
wildfires in Australia and California 2020,5,0.6,0.1
wildfires in Australia and California 2020,6,0.666667,0.133333
wildfires in Australia and California 2020,7,0.714286,0.166667
wildfires in Australia and California 2020,8,0.75,0.2
wildfires in Australia and California 2020,9,0.777778,0.233333
wildfires in Australia and California 2020,10,0.8,0.266667
wildfires in Australia and California 2020,11,0.818182,0.3
wildfires in Australia and California 2020,12,0.833333,0.333333
wildfires in Australia and California 2020,13,0.846154,0.366667
wildfires in Australia and California 2020,14,0.857143,0.4
wildfires in Australia and California 2020,15,0.866667,0.433333
wildfires in Australia and California 2020,16,0.8125,0.433333
wildfires in Australia and California 2020,17,0.823529,0.466667
wildfires in Australia and California 2020,18,0.833333,0.5
wildfires in Australia and California 2020,19,0.842105,0.533333
wildfires in Australia and California 2020,20,0.85,0.566667
wildfires in Australia and California 2020,21,0.809524,0.566667
wildfires in Australia and California 2020,22,0.772727,0.566667
wildfires in Australia and California 2020,23,0.782609,0.6
wildfires in Australia and California 2020,24,0.791667,0.633333
wildfires in Australia and California 2020,25,0.76,0.633333
wildfires in Australia and California 2020,26,0.730769,0.633333
wildfires in Australia and California 2020,27,0.703704,0.633333
wildfires in Australia and California 2020,28,0.714286,0.666667
wildfires in Australia and California 2020,29,0.724138,0.7
wildfires in Australia and California 2020,30,0.733333,0.733333
wildfires in Australia and California 2020,31,0.709677,0.733333
wildfires in Australia and California 2020,32,0.6875,0.733333
wildfires in Australia and California 2020,33,0.666667,0.733333
wildfires in Australia and California 2020,34,0.676471,0.766667
wildfires in Australia and California 2020,35,0.657143,0.766667
wildfires in Australia and California 2020,36,0.638889,0.766667
wildfires in Australia and California 2020,37,0.621622,0.766667
wildfires in Australia and California 2020,38,0.631579,0.8
wildfires in Australia and California 2020,39,0.641026,0.833333
wildfires in Australia and California 2020,40,0.625,0.833333
wildfires in Australia and California 2020,41,0.634146,0.866667
wildfires in Australia and California 2020,42,0.642857,0.9
wildfires in Australia and California 2020,43,0.651163,0.933333
wildfires in Australia and California 2020,44,0.636364,0.933333
wildfires in Australia and California 2020,45,0.622222,0.933333
wildfires in Australia and California 2020,46,0.608696,0.933333
wildfires in Australia and California 2020,47,0.595745,0.933333
wildfires in Australia and California 2020,48,0.583333,0.933333
wildfires in Australia and California 2020,49,0.591837,0.966667
wildfires in Australia and California 2020,50,0.6,1.0
Hong Kong protests and China national security law,1,1.0,0.022222
Hong Kong protests and China national security law,2,1.0,0.044444
Hong Kong protests and China national security law,3,1.0,0.066667
Hong Kong protests and China national security law,4,1.0,0.088889
Hong Kong protests and China national security law,5,1.0,0.111111
Hong Kong protests and China national security law,6,1.0,0.133333
Hong Kong protests and China national security law,7,1.0,0.155556
Hong Kong protests and China national security law,8,1.0,0.177778
Hong Kong protests and China national security law,9,1.0,0.2
Hong Kong protests and China national security law,10,1.0,0.222222
Hong Kong protests and China national security law,11,1.0,0.244444
Hong Kong protests and China national security law,12,1.0,0.266667
Hong Kong protests and China national security law,13,1.0,0.288889
Hong Kong protests and China national security law,14,1.0,0.311111
Hong Kong protests and China national security law,15,1.0,0.333333
Hong Kong protests and China national security law,16,1.0,0.355556
Hong Kong protests and China national security law,17,1.0,0.377778
Hong Kong protests and China national security law,18,1.0,0.4
Hong Kong protests and China national security law,19,1.0,0.422222
Hong Kong protests and China national security law,20,1.0,0.444444
Hong Kong protests and China national security law,21,0.952381,0.444444
Hong Kong protests and China national security law,22,0.954545,0.466667
Hong Kong protests and China national security law,23,0.956522,0.488889
Hong Kong protests and China national security law,24,0.958333,0.511111
Hong Kong protests and China national security law,25,0.96,0.533333
Hong Kong protests and China national security law,26,0.961538,0.555556
Hong Kong protests and China national security law,27,0.962963,0.577778
Hong Kong protests and China national security law,28,0.964286,0.6
Hong Kong protests and China national security law,29,0.931034,0.6
Hong Kong protests and China national security law,30,0.933333,0.622222
Hong Kong protests and China national security law,31,0.935484,0.644444
Hong Kong protests and China national security law,32,0.9375,0.666667
Hong Kong protests and China national security law,33,0.939394,0.688889
Hong Kong protests and China national security law,34,0.941176,0.711111
Hong Kong protests and China national security law,35,0.942857,0.733333
Hong Kong protests and China national security law,36,0.944444,0.755556
Hong Kong protests and China national security law,37,0.945946,0.777778
Hong Kong protests and China national security law,38,0.947368,0.8
Hong Kong protests and China national security law,39,0.948718,0.822222
Hong Kong protests and China national security law,40,0.95,0.844444
Hong Kong protests and China national security law,41,0.926829,0.844444
Hong Kong protests and China national security law,42,0.928571,0.866667
Hong Kong protests and China national security law,43,0.930233,0.888889
Hong Kong protests and China national security law,44,0.909091,0.888889
Hong Kong protests and China national security law,45,0.911111,0.911111
Hong Kong protests and China national security law,46,0.913043,0.933333
Hong Kong protests and China national security law,47,0.893617,0.933333
Hong Kong protests and China national security law,48,0.895833,0.955556
Hong Kong protests and China national security law,49,0.897959,0.977778
Hong Kong protests and China national security law,50,0.9,1.0
refugee crisis and immigration policy debates,1,1.0,0.022727
refugee crisis and immigration policy debates,2,1.0,0.045455
refugee crisis and immigration policy debates,3,1.0,0.068182
refugee crisis and immigration policy debates,4,1.0,0.090909
refugee crisis and immigration policy debates,5,1.0,0.113636
refugee crisis and immigration policy debates,6,1.0,0.136364
refugee crisis and immigration policy debates,7,1.0,0.159091
refugee crisis and immigration policy debates,8,1.0,0.181818
refugee crisis and immigration policy debates,9,1.0,0.204545
refugee crisis and immigration policy debates,10,1.0,0.227273
refugee crisis and immigration policy debates,11,1.0,0.25
refugee crisis and immigration policy debates,12,1.0,0.272727
refugee crisis and immigration policy debates,13,1.0,0.295455
refugee crisis and immigration policy debates,14,1.0,0.318182
refugee crisis and immigration policy debates,15,1.0,0.340909
refugee crisis and immigration policy debates,16,1.0,0.363636
refugee crisis and immigration policy debates,17,1.0,0.386364
refugee crisis and immigration policy debates,18,1.0,0.409091
refugee crisis and immigration policy debates,19,1.0,0.431818
refugee crisis and immigration policy debates,20,1.0,0.454545
refugee crisis and immigration policy debates,21,1.0,0.477273
refugee crisis and immigration policy debates,22,1.0,0.5
refugee crisis and immigration policy debates,23,1.0,0.522727
refugee crisis and immigration policy debates,24,1.0,0.545455
refugee crisis and immigration policy debates,25,0.96,0.545455
refugee crisis and immigration policy debates,26,0.961538,0.568182
refugee crisis and immigration policy debates,27,0.925926,0.568182
refugee crisis and immigration policy debates,28,0.928571,0.590909
refugee crisis and immigration policy debates,29,0.931034,0.613636
refugee crisis and immigration policy debates,30,0.933333,0.636364
refugee crisis and immigration policy debates,31,0.935484,0.659091
refugee crisis and immigration policy debates,32,0.9375,0.681818
refugee crisis and immigration policy debates,33,0.939394,0.704545
refugee crisis and immigration policy debates,34,0.941176,0.727273
refugee crisis and immigration policy debates,35,0.942857,0.75
refugee crisis and immigration policy debates,36,0.944444,0.772727
refugee crisis and immigration policy debates,37,0.918919,0.772727
refugee crisis and immigration policy debates,38,0.921053,0.795455
refugee crisis and immigration policy debates,39,0.897436,0.795455
refugee crisis and immigration policy debates,40,0.9,0.818182
refugee crisis and immigration policy debates,41,0.902439,0.840909
refugee crisis and immigration policy debates,42,0.880952,0.840909
refugee crisis and immigration policy debates,43,0.883721,0.863636
refugee crisis and immigration policy debates,44,0.886364,0.886364
refugee crisis and immigration policy debates,45,0.866667,0.886364
refugee crisis and immigration policy debates,46,0.869565,0.909091
refugee crisis and immigration policy debates,47,0.87234,0.931818
refugee crisis and immigration policy debates,48,0.875,0.954545
refugee crisis and immigration policy debates,49,0.877551,0.977273
refugee crisis and immigration policy debates,50,0.88,1.0
rise of populism and nationalist movements in Europe,1,1.0,0.029412
rise of populism and nationalist movements in Europe,2,1.0,0.058824
rise of populism and nationalist movements in Europe,3,1.0,0.088235
rise of populism and nationalist movements in Europe,4,1.0,0.117647
rise of populism and nationalist movements in Europe,5,1.0,0.147059
rise of populism and nationalist movements in Europe,6,1.0,0.176471
rise of populism and nationalist movements in Europe,7,1.0,0.205882
rise of populism and nationalist movements in Europe,8,1.0,0.235294
rise of populism and nationalist movements in Europe,9,0.888889,0.235294
rise of populism and nationalist movements in Europe,10,0.9,0.264706
rise of populism and nationalist movements in Europe,11,0.909091,0.294118
rise of populism and nationalist movements in Europe,12,0.916667,0.323529
rise of populism and nationalist movements in Europe,13,0.923077,0.352941
rise of populism and nationalist movements in Europe,14,0.928571,0.382353
rise of populism and nationalist movements in Europe,15,0.933333,0.411765
rise of populism and nationalist movements in Europe,16,0.9375,0.441176
rise of populism and nationalist movements in Europe,17,0.882353,0.441176
rise of populism and nationalist movements in Europe,18,0.833333,0.441176
rise of populism and nationalist movements in Europe,19,0.789474,0.441176
rise of populism and nationalist movements in Europe,20,0.8,0.470588
rise of populism and nationalist movements in Europe,21,0.809524,0.5
rise of populism and nationalist movements in Europe,22,0.818182,0.529412
rise of populism and nationalist movements in Europe,23,0.782609,0.529412
rise of populism and nationalist movements in Europe,24,0.791667,0.558824
rise of populism and nationalist movements in Europe,25,0.76,0.558824
rise of populism and nationalist movements in Europe,26,0.730769,0.558824
rise of populism and nationalist movements in Europe,27,0.740741,0.588235
rise of populism and nationalist movements in Europe,28,0.714286,0.588235
rise of populism and nationalist movements in Europe,29,0.689655,0.588235
rise of populism and nationalist movements in Europe,30,0.666667,0.588235
rise of populism and nationalist movements in Europe,31,0.677419,0.617647
rise of populism and nationalist movements in Europe,32,0.6875,0.647059
rise of populism and nationalist movements in Europe,33,0.666667,0.647059
rise of populism and nationalist movements in Europe,34,0.676471,0.676471
rise of populism and nationalist movements in Europe,35,0.657143,0.676471
rise of populism and nationalist movements in Europe,36,0.638889,0.676471
rise of populism and nationalist movements in Europe,37,0.648649,0.705882
rise of populism and nationalist movements in Europe,38,0.657895,0.735294
rise of populism and nationalist movements in Europe,39,0.641026,0.735294
rise of populism and nationalist movements in Europe,40,0.65,0.764706
rise of populism and nationalist movements in Europe,41,0.658537,0.794118
rise of populism and nationalist movements in Europe,42,0.642857,0.794118
rise of populism and nationalist movements in Europe,43,0.651163,0.823529
rise of populism and nationalist movements in Europe,44,0.659091,0.852941
rise of populism and nationalist movements in Europe,45,0.644444,0.852941
rise of populism and nationalist movements in Europe,46,0.652174,0.882353
rise of populism and nationalist movements in Europe,47,0.659574,0.911765
rise of populism and nationalist movements in Europe,48,0.666667,0.941176
rise of populism and nationalist movements in Europe,49,0.673469,0.970588
rise of populism and nationalist movements in Europe,50,0.68,1.0
United Nations climate summit and global cooperation,1,1.0,0.166667
United Nations climate summit and global cooperation,2,1.0,0.333333
United Nations climate summit and global cooperation,3,0.666667,0.333333
United Nations climate summit and global cooperation,4,0.5,0.333333
United Nations climate summit and global cooperation,5,0.4,0.333333
United Nations climate summit and global cooperation,6,0.333333,0.333333
United Nations climate summit and global cooperation,7,0.285714,0.333333
United Nations climate summit and global cooperation,8,0.25,0.333333
United Nations climate summit and global cooperation,9,0.333333,0.5
United Nations climate summit and global cooperation,10,0.3,0.5
United Nations climate summit and global cooperation,11,0.272727,0.5
United Nations climate summit and global cooperation,12,0.25,0.5
United Nations climate summit and global cooperation,13,0.230769,0.5
United Nations climate summit and global cooperation,14,0.214286,0.5
United Nations climate summit and global cooperation,15,0.2,0.5
United Nations climate summit and global cooperation,16,0.1875,0.5
United Nations climate summit and global cooperation,17,0.176471,0.5
United Nations climate summit and global cooperation,18,0.166667,0.5
United Nations climate summit and global cooperation,19,0.157895,0.5
United Nations climate summit and global cooperation,20,0.15,0.5
United Nations climate summit and global cooperation,21,0.142857,0.5
United Nations climate summit and global cooperation,22,0.136364,0.5
United Nations climate summit and global cooperation,23,0.130435,0.5
United Nations climate summit and global cooperation,24,0.125,0.5
United Nations climate summit and global cooperation,25,0.16,0.666667
United Nations climate summit and global cooperation,26,0.153846,0.666667
United Nations climate summit and global cooperation,27,0.148148,0.666667
United Nations climate summit and global cooperation,28,0.142857,0.666667
United Nations climate summit and global cooperation,29,0.137931,0.666667
United Nations climate summit and global cooperation,30,0.133333,0.666667
United Nations climate summit and global cooperation,31,0.129032,0.666667
United Nations climate summit and global cooperation,32,0.125,0.666667
United Nations climate summit and global cooperation,33,0.121212,0.666667
United Nations climate summit and global cooperation,34,0.117647,0.666667
United Nations climate summit and global cooperation,35,0.114286,0.666667
United Nations climate summit and global cooperation,36,0.111111,0.666667
United Nations climate summit and global cooperation,37,0.108108,0.666667
United Nations climate summit and global cooperation,38,0.105263,0.666667
United Nations climate summit and global cooperation,39,0.128205,0.833333
United Nations climate summit and global cooperation,40,0.125,0.833333
United Nations climate summit and global cooperation,41,0.146341,1.0
United Nations climate summit and global cooperation,42,0.142857,1.0
United Nations climate summit and global cooperation,43,0.139535,1.0
United Nations climate summit and global cooperation,44,0.136364,1.0
United Nations climate summit and global cooperation,45,0.133333,1.0
United Nations climate summit and global cooperation,46,0.130435,1.0
United Nations climate summit and global cooperation,47,0.12766,1.0
United Nations climate summit and global cooperation,48,0.125,1.0
United Nations climate summit and global cooperation,49,0.122449,1.0
United Nations climate summit and global cooperation,50,0.12,1.0
artificial intelligence and machine learning breakthroughs,1,1.0,0.02439
artificial intelligence and machine learning breakthroughs,2,1.0,0.04878
artificial intelligence and machine learning breakthroughs,3,1.0,0.073171
artificial intelligence and machine learning breakthroughs,4,1.0,0.097561
