query,rank,precision,recall
COVID-19 pandemic response and lockdown measures,44,0.704545,0.939394
COVID-19 pandemic response and lockdown measures,45,0.688889,0.939394
COVID-19 pandemic response and lockdown measures,46,0.673913,0.939394
COVID-19 pandemic response and lockdown measures,47,0.680851,0.969697
COVID-19 pandemic response and lockdown measures,48,0.666667,0.969697
COVID-19 pandemic response and lockdown measures,49,0.653061,0.969697
COVID-19 pandemic response and lockdown measures,50,0.66,1.0
2020 US presidential election and voter turnout,1,1.0,0.021739
2020 US presidential election and voter turnout,2,1.0,0.043478
2020 US presidential election and voter turnout,3,1.0,0.065217
2020 US presidential election and voter turnout,4,1.0,0.086957
2020 US presidential election and voter turnout,5,1.0,0.108696
2020 US presidential election and voter turnout,6,1.0,0.130435
2020 US presidential election and voter turnout,7,1.0,0.152174
2020 US presidential election and voter turnout,8,1.0,0.173913
2020 US presidential election and voter turnout,9,1.0,0.195652
2020 US presidential election and voter turnout,10,1.0,0.217391
2020 US presidential election and voter turnout,11,1.0,0.23913
2020 US presidential election and voter turnout,12,1.0,0.26087
2020 US presidential election and voter turnout,13,1.0,0.282609
2020 US presidential election and voter turnout,14,1.0,0.304348
2020 US presidential election and voter turnout,15,1.0,0.326087
2020 US presidential election and voter turnout,16,1.0,0.347826
2020 US presidential election and voter turnout,17,1.0,0.369565
2020 US presidential election and voter turnout,18,1.0,0.391304
2020 US presidential election and voter turnout,19,1.0,0.413043
2020 US presidential election and voter turnout,20,1.0,0.434783
2020 US presidential election and voter turnout,21,1.0,0.456522
2020 US presidential election and voter turnout,22,1.0,0.478261
2020 US presidential election and voter turnout,23,1.0,0.5
2020 US presidential election and voter turnout,24,1.0,0.521739
2020 US presidential election and voter turnout,25,1.0,0.543478
2020 US presidential election and voter turnout,26,1.0,0.565217
2020 US presidential election and voter turnout,27,0.962963,0.565217
2020 US presidential election and voter turnout,28,0.964286,0.586957
2020 US presidential election and voter turnout,29,0.965517,0.608696
2020 US presidential election and voter turnout,30,0.966667,0.630435
2020 US presidential election and voter turnout,31,0.967742,0.652174
2020 US presidential election and voter turnout,32,0.96875,0.673913
2020 US presidential election and voter turnout,33,0.969697,0.695652
2020 US presidential election and voter turnout,34,0.970588,0.717391
2020 US presidential election and voter turnout,35,0.971429,0.73913
2020 US presidential election and voter turnout,36,0.972222,0.76087
2020 US presidential election and voter turnout,37,0.972973,0.782609
2020 US presidential election and voter turnout,38,0.973684,0.804348
2020 US presidential election and voter turnout,39,0.974359,0.826087
2020 US presidential election and voter turnout,40,0.95,0.826087
2020 US presidential election and voter turnout,41,0.95122,0.847826
2020 US presidential election and voter turnout,42,0.952381,0.869565
2020 US presidential election and voter turnout,43,0.953488,0.891304
2020 US presidential election and voter turnout,44,0.931818,0.891304
2020 US presidential election and voter turnout,45,0.933333,0.913043
2020 US presidential election and voter turnout,46,0.934783,0.934783
2020 US presidential election and voter turnout,47,0.93617,0.956522
2020 US presidential election and voter turnout,48,0.916667,0.956522
2020 US presidential election and voter turnout,49,0.918367,0.978261
2020 US presidential election and voter turnout,50,0.92,1.0
Black Lives Matter protests and racial justice,1,1.0,0.02439
Black Lives Matter protests and racial justice,2,1.0,0.04878
Black Lives Matter protests and racial justice,3,1.0,0.073171
Black Lives Matter protests and racial justice,4,1.0,0.097561
Black Lives Matter protests and racial justice,5,1.0,0.121951
Black Lives Matter protests and racial justice,6,1.0,0.146341
Black Lives Matter protests and racial justice,7,1.0,0.170732
Black Lives Matter protests and racial justice,8,1.0,0.195122
Black Lives Matter protests and racial justice,9,1.0,0.219512
Black Lives Matter protests and racial justice,10,1.0,0.243902
Black Lives Matter protests and racial justice,11,1.0,0.268293
Black Lives Matter protests and racial justice,12,1.0,0.292683
Black Lives Matter protests and racial justice,13,1.0,0.317073
Black Lives Matter protests and racial justice,14,1.0,0.341463
Black Lives Matter protests and racial justice,15,1.0,0.365854
Black Lives Matter protests and racial justice,16,1.0,0.390244
Black Lives Matter protests and racial justice,17,1.0,0.414634
Black Lives Matter protests and racial justice,18,1.0,0.439024
Black Lives Matter protests and racial justice,19,1.0,0.463415
Black Lives Matter protests and racial justice,20,1.0,0.487805
Black Lives Matter protests and racial justice,21,1.0,0.512195
Black Lives Matter protests and racial justice,22,0.954545,0.512195
Black Lives Matter protests and racial justice,23,0.956522,0.536585
Black Lives Matter protests and racial justice,24,0.958333,0.560976
Black Lives Matter protests and racial justice,25,0.96,0.585366
Black Lives Matter protests and racial justice,26,0.961538,0.609756
Black Lives Matter protests and racial justice,27,0.962963,0.634146
Black Lives Matter protests and racial justice,28,0.964286,0.658537
Black Lives Matter protests and racial justice,29,0.965517,0.682927
Black Lives Matter protests and racial justice,30,0.966667,0.707317
Black Lives Matter protests and racial justice,31,0.967742,0.731707
Black Lives Matter protests and racial justice,32,0.96875,0.756098
Black Lives Matter protests and racial justice,33,0.939394,0.756098
Black Lives Matter protests and racial justice,34,0.911765,0.756098
Black Lives Matter protests and racial justice,35,0.914286,0.780488
Black Lives Matter protests and racial justice,36,0.888889,0.780488
Black Lives Matter protests and racial justice,37,0.891892,0.804878
Black Lives Matter protests and racial justice,38,0.894737,0.829268
Black Lives Matter protests and racial justice,39,0.871795,0.829268
Black Lives Matter protests and racial justice,40,0.85,0.829268
Black Lives Matter protests and racial justice,41,0.853659,0.853659
Black Lives Matter protests and racial justice,42,0.857143,0.878049
Black Lives Matter protests and racial justice,43,0.860465,0.902439
Black Lives Matter protests and racial justice,44,0.840909,0.902439
Black Lives Matter protests and racial justice,45,0.822222,0.902439
Black Lives Matter protests and racial justice,46,0.826087,0.926829
Black Lives Matter protests and racial justice,47,0.808511,0.926829
Black Lives Matter protests and racial justice,48,0.8125,0.95122
Black Lives Matter protests and racial justice,49,0.816327,0.97561
Black Lives Matter protests and racial justice,50,0.82,1.0
Brexit negotiations and the UK leaving the EU,1,1.0,0.02
Brexit negotiations and the UK leaving the EU,2,1.0,0.04
Brexit negotiations and the UK leaving the EU,3,1.0,0.06
Brexit negotiations and the UK leaving the EU,4,1.0,0.08
Brexit negotiations and the UK leaving the EU,5,1.0,0.1
Brexit negotiations and the UK leaving the EU,6,1.0,0.12
Brexit negotiations and the UK leaving the EU,7,1.0,0.14
Brexit negotiations and the UK leaving the EU,8,1.0,0.16
Brexit negotiations and the UK leaving the EU,9,1.0,0.18
Brexit negotiations and the UK leaving the EU,10,1.0,0.2
Brexit negotiations and the UK leaving the EU,11,1.0,0.22
Brexit negotiations and the UK leaving the EU,12,1.0,0.24
Brexit negotiations and the UK leaving the EU,13,1.0,0.26
Brexit negotiations and the UK leaving the EU,14,1.0,0.28
Brexit negotiations and the UK leaving the EU,15,1.0,0.3
Brexit negotiations and the UK leaving the EU,16,1.0,0.32
Brexit negotiations and the UK leaving the EU,17,1.0,0.34
Brexit negotiations and the UK leaving the EU,18,1.0,0.36
Brexit negotiations and the UK leaving the EU,19,1.0,0.38
Brexit negotiations and the UK leaving the EU,20,1.0,0.4
Brexit negotiations and the UK leaving the EU,21,1.0,0.42
Brexit negotiations and the UK leaving the EU,22,1.0,0.44
Brexit negotiations and the UK leaving the EU,23,1.0,0.46
Brexit negotiations and the UK leaving the EU,24,1.0,0.48
Brexit negotiations and the UK leaving the EU,25,1.0,0.5
Brexit negotiations and the UK leaving the EU,26,1.0,0.52
Brexit negotiations and the UK leaving the EU,27,1.0,0.54
Brexit negotiations and the UK leaving the EU,28,1.0,0.56
Brexit negotiations and the UK leaving the EU,29,1.0,0.58
Brexit negotiations and the UK leaving the EU,30,1.0,0.6
Brexit negotiations and the UK leaving the EU,31,1.0,0.62
Brexit negotiations and the UK leaving the EU,32,1.0,0.64
Brexit negotiations and the UK leaving the EU,33,1.0,0.66
Brexit negotiations and the UK leaving the EU,34,1.0,0.68
Brexit negotiations and the UK leaving the EU,35,1.0,0.7
Brexit negotiations and the UK leaving the EU,36,1.0,0.72
Brexit negotiations and the UK leaving the EU,37,1.0,0.74
Brexit negotiations and the UK leaving the EU,38,1.0,0.76
Brexit negotiations and the UK leaving the EU,39,1.0,0.78
Brexit negotiations and the UK leaving the EU,40,1.0,0.8
Brexit negotiations and the UK leaving the EU,41,1.0,0.82
Brexit negotiations and the UK leaving the EU,42,1.0,0.84
Brexit negotiations and the UK leaving the EU,43,1.0,0.86
Brexit negotiations and the UK leaving the EU,44,1.0,0.88
Brexit negotiations and the UK leaving the EU,45,1.0,0.9
Brexit negotiations and the UK leaving the EU,46,1.0,0.92
Brexit negotiations and the UK leaving the EU,47,1.0,0.94
Brexit negotiations and the UK leaving the EU,48,1.0,0.96
Brexit negotiations and the UK leaving the EU,49,1.0,0.98
Brexit negotiations and the UK leaving the EU,50,1.0,1.0
Trump impeachment trial and Senate acquittal,1,1.0,0.020833
Trump impeachment trial and Senate acquittal,2,1.0,0.041667
Trump impeachment trial and Senate acquittal,3,1.0,0.0625
Trump impeachment trial and Senate acquittal,4,1.0,0.083333
Trump impeachment trial and Senate acquittal,5,1.0,0.104167
Trump impeachment trial and Senate acquittal,6,1.0,0.125
Trump impeachment trial and Senate acquittal,7,1.0,0.145833
Trump impeachment trial and Senate acquittal,8,1.0,0.166667
Trump impeachment trial and Senate acquittal,9,1.0,0.1875
Trump impeachment trial and Senate acquittal,10,1.0,0.208333
Trump impeachment trial and Senate acquittal,11,1.0,0.229167
Trump impeachment trial and Senate acquittal,12,1.0,0.25
Trump impeachment trial and Senate acquittal,13,1.0,0.270833
Trump impeachment trial and Senate acquittal,14,1.0,0.291667
Trump impeachment trial and Senate acquittal,15,1.0,0.3125
Trump impeachment trial and Senate acquittal,16,1.0,0.333333
Trump impeachment trial and Senate acquittal,17,1.0,0.354167
Trump impeachment trial and Senate acquittal,18,1.0,0.375
Trump impeachment trial and Senate acquittal,19,1.0,0.395833
Trump impeachment trial and Senate acquittal,20,1.0,0.416667
Trump impeachment trial and Senate acquittal,21,1.0,0.4375
Trump impeachment trial and Senate acquittal,22,1.0,0.458333
Trump impeachment trial and Senate acquittal,23,1.0,0.479167
Trump impeachment trial and Senate acquittal,24,1.0,0.5
Trump impeachment trial and Senate acquittal,25,1.0,0.520833
Trump impeachment trial and Senate acquittal,26,1.0,0.541667
Trump impeachment trial and Senate acquittal,27,1.0,0.5625
Trump impeachment trial and Senate acquittal,28,1.0,0.583333
Trump impeachment trial and Senate acquittal,29,1.0,0.604167
Trump impeachment trial and Senate acquittal,30,1.0,0.625
Trump impeachment trial and Senate acquittal,31,1.0,0.645833
Trump impeachment trial and Senate acquittal,32,1.0,0.666667
Trump impeachment trial and Senate acquittal,33,1.0,0.6875
Trump impeachment trial and Senate acquittal,34,1.0,0.708333
Trump impeachment trial and Senate acquittal,35,0.971429,0.708333
Trump impeachment trial and Senate acquittal,36,0.972222,0.729167
Trump impeachment trial and Senate acquittal,37,0.972973,0.75
Trump impeachment trial and Senate acquittal,38,0.973684,0.770833
Trump impeachment trial and Senate acquittal,39,0.948718,0.770833
Trump impeachment trial and Senate acquittal,40,0.95,0.791667
Trump impeachment trial and Senate acquittal,41,0.95122,0.8125
Trump impeachment trial and Senate acquittal,42,0.952381,0.833333
Trump impeachment trial and Senate acquittal,43,0.953488,0.854167
Trump impeachment trial and Senate acquittal,44,0.954545,0.875
Trump impeachment trial and Senate acquittal,45,0.955556,0.895833
Trump impeachment trial and Senate acquittal,46,0.956522,0.916667
Trump impeachment trial and Senate acquittal,47,0.957447,0.9375
Trump impeachment trial and Senate acquittal,48,0.958333,0.958333
Trump impeachment trial and Senate acquittal,49,0.959184,0.979167
Trump impeachment trial and Senate acquittal,50,0.96,1.0
wildfires in Australia and California 2020,1,1.0,0.028571
wildfires in Australia and California 2020,2,1.0,0.057143
wildfires in Australia and California 2020,3,1.0,0.085714
wildfires in Australia and California 2020,4,1.0,0.114286
wildfires in Australia and California 2020,5,1.0,0.142857
wildfires in Australia and California 2020,6,1.0,0.171429
wildfires in Australia and California 2020,7,1.0,0.2
wildfires in Australia and California 2020,8,1.0,0.228571
wildfires in Australia and California 2020,9,1.0,0.257143
wildfires in Australia and California 2020,10,1.0,0.285714
wildfires in Australia and California 2020,11,1.0,0.314286
wildfires in Australia and California 2020,12,1.0,0.342857
wildfires in Australia and California 2020,13,0.923077,0.342857
wildfires in Australia and California 2020,14,0.928571,0.371429
wildfires in Australia and California 2020,15,0.933333,0.4
wildfires in Australia and California 2020,16,0.875,0.4
wildfires in Australia and California 2020,17,0.823529,0.4
wildfires in Australia and California 2020,18,0.777778,0.4
wildfires in Australia and California 2020,19,0.736842,0.4
wildfires in Australia and California 2020,20,0.75,0.428571
wildfires in Australia and California 2020,21,0.761905,0.457143
wildfires in Australia and California 2020,22,0.772727,0.485714
wildfires in Australia and California 2020,23,0.73913,0.485714
wildfires in Australia and California 2020,24,0.708333,0.485714
wildfires in Australia and California 2020,25,0.72,0.514286
wildfires in Australia and California 2020,26,0.730769,0.542857
wildfires in Australia and California 2020,27,0.703704,0.542857
wildfires in Australia and California 2020,28,0.678571,0.542857
wildfires in Australia and California 2020,29,0.689655,0.571429
wildfires in Australia and California 2020,30,0.7,0.6
wildfires in Australia and California 2020,31,0.677419,0.6
wildfires in Australia and California 2020,32,0.6875,0.628571
wildfires in Australia and California 2020,33,0.69697,0.657143
wildfires in Australia and California 2020,34,0.676471,0.657143
wildfires in Australia and California 2020,35,0.685714,0.685714
wildfires in Australia and California 2020,36,0.666667,0.685714
wildfires in Australia and California 2020,37,0.675676,0.714286
wildfires in Australia and California 2020,38,0.684211,0.742857
wildfires in Australia and California 2020,39,0.666667,0.742857
wildfires in Australia and California 2020,40,0.675,0.771429
wildfires in Australia and California 2020,41,0.682927,0.8
wildfires in Australia and California 2020,42,0.690476,0.828571
wildfires in Australia and California 2020,43,0.697674,0.857143
wildfires in Australia and California 2020,44,0.704545,0.885714
wildfires in Australia and California 2020,45,0.711111,0.914286
wildfires in Australia and California 2020,46,0.717391,0.942857
wildfires in Australia and California 2020,47,0.723404,0.971429
wildfires in Australia and California 2020,48,0.729167,1.0
wildfires in Australia and California 2020,49,0.714286,1.0
wildfires in Australia and California 2020,50,0.7,1.0
Hong Kong protests and China national security law,1,1.0,0.020408
Hong Kong protests and China national security law,2,1.0,0.040816
Hong Kong protests and China national security law,3,1.0,0.061224
Hong Kong protests and China national security law,4,1.0,0.081633
Hong Kong protests and China national security law,5,1.0,0.102041
Hong Kong protests and China national security law,6,1.0,0.122449
Hong Kong protests and China national security law,7,1.0,0.142857
Hong Kong protests and China national security law,8,1.0,0.163265
Hong Kong protests and China national security law,9,1.0,0.183673
Hong Kong protests and China national security law,10,1.0,0.204082
Hong Kong protests and China national security law,11,1.0,0.22449
Hong Kong protests and China national security law,12,1.0,0.244898
Hong Kong protests and China national security law,13,1.0,0.265306
Hong Kong protests and China national security law,14,1.0,0.285714
Hong Kong protests and China national security law,15,1.0,0.306122
Hong Kong protests and China national security law,16,1.0,0.326531
Hong Kong protests and China national security law,17,1.0,0.346939
Hong Kong protests and China national security law,18,1.0,0.367347
Hong Kong protests and China national security law,19,1.0,0.387755
Hong Kong protests and China national security law,20,1.0,0.408163
Hong Kong protests and China national security law,21,1.0,0.428571
Hong Kong protests and China national security law,22,1.0,0.44898
Hong Kong protests and China national security law,23,1.0,0.469388
Hong Kong protests and China national security law,24,1.0,0.489796
Hong Kong protests and China national security law,25,1.0,0.510204
Hong Kong protests and China national security law,26,1.0,0.530612
Hong Kong protests and China national security law,27,1.0,0.55102
Hong Kong protests and China national security law,28,1.0,0.571429
Hong Kong protests and China national security law,29,1.0,0.591837
Hong Kong protests and China national security law,30,1.0,0.612245
Hong Kong protests and China national security law,31,1.0,0.632653
Hong Kong protests and China national security law,32,1.0,0.653061
Hong Kong protests and China national security law,33,1.0,0.673469
Hong Kong protests and China national security law,34,1.0,0.693878
Hong Kong protests and China national security law,35,1.0,0.714286
Hong Kong protests and China national security law,36,1.0,0.734694
Hong Kong protests and China national security law,37,1.0,0.755102
Hong Kong protests and China national security law,38,1.0,0.77551
Hong Kong protests and China national security law,39,1.0,0.795918
Hong Kong protests and China national security law,40,1.0,0.816327
Hong Kong protests and China national security law,41,1.0,0.836735
Hong Kong protests and China national security law,42,1.0,0.857143
Hong Kong protests and China national security law,43,1.0,0.877551
Hong Kong protests and China national security law,44,0.977273,0.877551
Hong Kong protests and China national security law,45,0.977778,0.897959
Hong Kong protests and China national security law,46,0.978261,0.918367
Hong Kong protests and China national security law,47,0.978723,0.938776
Hong Kong protests and China national security law,48,0.979167,0.959184
Hong Kong protests and China national security law,49,0.979592,0.979592
Hong Kong protests and China national security law,50,0.98,1.0
refugee crisis and immigration policy debates,1,1.0,0.030303
refugee crisis and immigration policy debates,2,1.0,0.060606
refugee crisis and immigration policy debates,3,1.0,0.090909
refugee crisis and immigration policy debates,4,1.0,0.121212
refugee crisis and immigration policy debates,5,1.0,0.151515
refugee crisis and immigration policy debates,6,1.0,0.181818
refugee crisis and immigration policy debates,7,1.0,0.212121
refugee crisis and immigration policy debates,8,1.0,0.242424
refugee crisis and immigration policy debates,9,1.0,0.272727
refugee crisis and immigration policy debates,10,1.0,0.30303
refugee crisis and immigration policy debates,11,0.909091,0.30303
refugee crisis and immigration policy debates,12,0.916667,0.333333
refugee crisis and immigration policy debates,13,0.846154,0.333333
refugee crisis and immigration policy debates,14,0.857143,0.363636
refugee crisis and immigration policy debates,15,0.866667,0.393939
refugee crisis and immigration policy debates,16,0.875,0.424242
refugee crisis and immigration policy debates,17,0.882353,0.454545
refugee crisis and immigration policy debates,18,0.833333,0.454545
refugee crisis and immigration policy debates,19,0.842105,0.484848
refugee crisis and immigration policy debates,20,0.85,0.515152
refugee crisis and immigration policy debates,21,0.857143,0.545455
refugee crisis and immigration policy debates,22,0.818182,0.545455
refugee crisis and immigration policy debates,23,0.826087,0.575758
refugee crisis and immigration policy debates,24,0.833333,0.606061
refugee crisis and immigration policy debates,25,0.84,0.636364
refugee crisis and immigration policy debates,26,0.807692,0.636364
refugee crisis and immigration policy debates,27,0.814815,0.666667
refugee crisis and immigration policy debates,28,0.785714,0.666667
refugee crisis and immigration policy debates,29,0.793103,0.69697
refugee crisis and immigration policy debates,30,0.8,0.727273
refugee crisis and immigration policy debates,31,0.774194,0.727273
refugee crisis and immigration policy debates,32,0.75,0.727273
refugee crisis and immigration policy debates,33,0.757576,0.757576
refugee crisis and immigration policy debates,34,0.764706,0.787879
refugee crisis and immigration policy debates,35,0.771429,0.818182
refugee crisis and immigration policy debates,36,0.777778,0.848485
refugee crisis and immigration policy debates,37,0.756757,0.848485
refugee crisis and immigration policy debates,38,0.736842,0.848485
refugee crisis and immigration policy debates,39,0.74359,0.878788
refugee crisis and immigration policy debates,40,0.725,0.878788
refugee crisis and immigration policy debates,41,0.731707,0.909091
refugee crisis and immigration policy debates,42,0.714286,0.909091
refugee crisis and immigration policy debates,43,0.72093,0.939394
refugee crisis and immigration policy debates,44,0.704545,0.939394
refugee crisis and immigration policy debates,45,0.688889,0.939394
refugee crisis and immigration policy debates,46,0.695652,0.969697
refugee crisis and immigration policy debates,47,0.680851,0.969697
refugee crisis and immigration policy debates,48,0.6875,1.0
refugee crisis and immigration policy debates,49,0.673469,1.0
refugee crisis and immigration policy debates,50,0.66,1.0
rise of populism and nationalist movements in Europe,1,1.0,0.030303
rise of populism and nationalist movements in Europe,2,1.0,0.060606
rise of populism and nationalist movements in Europe,3,1.0,0.090909
rise of populism and nationalist movements in Europe,4,1.0,0.121212
rise of populism and nationalist movements in Europe,5,1.0,0.151515
rise of populism and nationalist movements in Europe,6,1.0,0.181818
rise of populism and nationalist movements in Europe,7,1.0,0.212121
rise of populism and nationalist movements in Europe,8,1.0,0.242424
rise of populism and nationalist movements in Europe,9,1.0,0.272727
rise of populism and nationalist movements in Europe,10,1.0,0.30303
rise of populism and nationalist movements in Europe,11,1.0,0.333333
rise of populism and nationalist movements in Europe,12,1.0,0.363636
rise of populism and nationalist movements in Europe,13,1.0,0.393939
rise of populism and nationalist movements in Europe,14,1.0,0.424242
rise of populism and nationalist movements in Europe,15,1.0,0.454545
rise of populism and nationalist movements in Europe,16,0.9375,0.454545
rise of populism and nationalist movements in Europe,17,0.882353,0.454545
rise of populism and nationalist movements in Europe,18,0.833333,0.454545
rise of populism and nationalist movements in Europe,19,0.842105,0.484848
rise of populism and nationalist movements in Europe,20,0.85,0.515152
rise of populism and nationalist movements in Europe,21,0.857143,0.545455
rise of populism and nationalist movements in Europe,22,0.863636,0.575758
rise of populism and nationalist movements in Europe,23,0.826087,0.575758
rise of populism and nationalist movements in Europe,24,0.833333,0.606061
rise of populism and nationalist movements in Europe,25,0.8,0.606061
rise of populism and nationalist movements in Europe,26,0.769231,0.606061
rise of populism and nationalist movements in Europe,27,0.777778,0.636364
rise of populism and nationalist movements in Europe,28,0.75,0.636364
rise of populism and nationalist movements in Europe,29,0.758621,0.666667
rise of populism and nationalist movements in Europe,30,0.733333,0.666667
rise of populism and nationalist movements in Europe,31,0.741935,0.69697
rise of populism and nationalist movements in Europe,32,0.75,0.727273
rise of populism and nationalist movements in Europe,33,0.727273,0.727273
rise of populism and nationalist movements in Europe,34,0.735294,0.757576
rise of populism and nationalist movements in Europe,35,0.714286,0.757576
rise of populism and nationalist movements in Europe,36,0.722222,0.787879
rise of populism and nationalist movements in Europe,37,0.72973,0.818182
rise of populism and nationalist movements in Europe,38,0.736842,0.848485
rise of populism and nationalist movements in Europe,39,0.717949,0.848485
rise of populism and nationalist movements in Europe,40,0.725,0.878788
rise of populism and nationalist movements in Europe,41,0.707317,0.878788
rise of populism and nationalist movements in Europe,42,0.690476,0.878788
rise of populism and nationalist movements in Europe,43,0.674419,0.878788
rise of populism and nationalist movements in Europe,44,0.681818,0.909091
rise of populism and nationalist movements in Europe,45,0.666667,0.909091
rise of populism and nationalist movements in Europe,46,0.673913,0.939394
rise of populism and nationalist movements in Europe,47,0.680851,0.969697
rise of populism and nationalist movements in Europe,48,0.666667,0.969697
rise of populism and nationalist movements in Europe,49,0.673469,1.0
rise of populism and nationalist movements in Europe,50,0.66,1.0
United Nations climate summit and global cooperation,1,1.0,0.032258
United Nations climate summit and global cooperation,2,1.0,0.064516
United Nations climate summit and global cooperation,3,1.0,0.096774
United Nations climate summit and global cooperation,4,1.0,0.129032
United Nations climate summit and global cooperation,5,1.0,0.16129
United Nations climate summit and global cooperation,6,1.0,0.193548
United Nations climate summit and global cooperation,7,0.857143,0.193548
United Nations climate summit and global cooperation,8,0.875,0.225806
United Nations climate summit and global cooperation,9,0.888889,0.258065
United Nations climate summit and global cooperation,10,0.9,0.290323
United Nations climate summit and global cooperation,11,0.818182,0.290323
United Nations climate summit and global cooperation,12,0.833333,0.322581
United Nations climate summit and global cooperation,13,0.769231,0.322581
United Nations climate summit and global cooperation,14,0.785714,0.354839
United Nations climate summit and global cooperation,15,0.8,0.387097
United Nations climate summit and global cooperation,16,0.8125,0.419355
United Nations climate summit and global cooperation,17,0.764706,0.419355
United Nations climate summit and global cooperation,18,0.777778,0.451613
United Nations climate summit and global cooperation,19,0.736842,0.451613
United Nations climate summit and global cooperation,20,0.75,0.483871
United Nations climate summit and global cooperation,21,0.761905,0.516129
United Nations climate summit and global cooperation,22,0.727273,0.516129
United Nations climate summit and global cooperation,23,0.695652,0.516129
United Nations climate summit and global cooperation,24,0.708333,0.548387
United Nations climate summit and global cooperation,25,0.72,0.580645
United Nations climate summit and global cooperation,26,0.692308,0.580645
United Nations climate summit and global cooperation,27,0.666667,0.580645
United Nations climate summit and global cooperation,28,0.678571,0.612903
United Nations climate summit and global cooperation,29,0.655172,0.612903
United Nations climate summit and global cooperation,30,0.666667,0.645161
United Nations climate summit and global cooperation,31,0.677419,0.677419
United Nations climate summit and global cooperation,32,0.65625,0.677419
United Nations climate summit and global cooperation,33,0.666667,0.709677
United Nations climate summit and global cooperation,34,0.676471,0.741935
United Nations climate summit and global cooperation,35,0.657143,0.741935
United Nations climate summit and global cooperation,36,0.666667,0.774194
United Nations climate summit and global cooperation,37,0.675676,0.806452
United Nations climate summit and global cooperation,38,0.657895,0.806452
United Nations climate summit and global cooperation,39,0.641026,0.806452
United Nations climate summit and global cooperation,40,0.65,0.83871
United Nations climate summit and global cooperation,41,0.658537,0.870968
United Nations climate summit and global cooperation,42,0.642857,0.870968
United Nations climate summit and global cooperation,43,0.651163,0.903226
United Nations climate summit and global cooperation,44,0.636364,0.903226
United Nations climate summit and global cooperation,45,0.622222,0.903226
United Nations climate summit and global cooperation,46,0.630435,0.935484
United Nations climate summit and global cooperation,47,0.638298,0.967742
United Nations climate summit and global cooperation,48,0.625,0.967742
United Nations climate summit and global cooperation,49,0.612245,0.967742
United Nations climate summit and global cooperation,50,0.62,1.0
artificial intelligence and machine learning breakthroughs,1,1.0,0.020833
artificial intelligence and machine learning breakthroughs,2,1.0,0.041667
artificial intelligence and machine learning breakthroughs,3,1.0,0.0625
artificial intelligence and machine learning breakthroughs,4,1.0,0.083333
artificial intelligence and machine learning breakthroughs,5,1.0,0.104167
artificial intelligence and machine learning breakthroughs,6,1.0,0.125
artificial intelligence and machine learning breakthroughs,7,1.0,0.145833
